invoice_id,client_industry,client_credit_rating,client_company_size,payment_method,has_dispute_history,collateral_or_guarantee,payment_terms_days,invoice_amount_kes,client_relationship_years,prior_late_payments_count,discount_offered_pct,days_outstanding_avg_historical,guarantee_value_kes,economic_sector_growth_rate_pct,payment_risk_category
63,Healthcare,Good,Small,Bank Transfer,Yes,No,30,414508.0,2.6,2,0.0,36.2,,3.26,Late
64,Manufacturing,Excellent,Small,Cheque,No,No,15,228120.0,3.2,0,1.39,15.6,,2.48,On-Time
65,Construction,Good,Small,Mobile Money,No,No,60,679306.0,7.9,1,1.94,24.0,,-0.04,Late
66,Manufacturing,Excellent,Small,Bank Transfer,No,No,60,101705.0,2.5,1,1.84,28.1,,2.4,On-Time
67,Technology,Excellent,Medium,Bank Transfer,No,No,45,177200.0,0.8,0,4.04,22.2,,4.69,On-Time
68,Manufacturing,Fair,Medium,Cheque,No,No,15,787929.0,0.5,0,3.17,20.2,,2.63,On-Time
69,Technology,Good,Medium,Bank Transfer,No,No,30,78903.0,5.0,1,2.36,19.0,,4.48,On-Time
70,Technology,Fair,Small,Mobile Money,No,No,90,523641.0,5.5,2,2.53,32.4,,4.59,Late
71,Retail,Good,Small,Cheque,No,Yes,30,446252.0,12.3,0,2.03,15.8,184478.18007530458,1.15,On-Time
72,Construction,Good,Large,Mobile Money,No,No,90,127308.0,2.0,0,4.19,13.3,,1.64,Late
73,Technology,Excellent,Enterprise,Cheque,No,No,45,260718.0,12.8,2,0.95,26.3,,4.24,On-Time
74,Technology,Excellent,Large,Bank Transfer,No,Yes,30,53248.0,1.0,1,1.44,19.3,39872.430848639975,4.44,On-Time
75,Construction,Fair,Medium,Bank Transfer,Yes,No,30,339443.0,5.8,4,2.61,53.1,,1.54,Severely Late
76,Manufacturing,Good,Small,Bank Transfer,No,Yes,30,394766.0,7.6,2,0.0,45.4,228294.43557549833,2.36,On-Time
77,Construction,Fair,Medium,Letter of Credit,No,No,30,297825.0,3.9,3,1.45,35.7,,0.43,Late
78,Retail,Excellent,Medium,Bank Transfer,Yes,No,60,113457.0,1.4,1,3.24,28.8,,0.83,Late
79,Technology,Good,Large,Mobile Money,No,No,60,218868.0,5.7,0,2.26,14.0,,4.52,On-Time
80,Manufacturing,Poor,Large,Bank Transfer,No,No,45,663350.0,3.6,0,0.86,23.7,,2.25,Late
81,Construction,Good,Medium,Bank Transfer,No,No,90,248878.0,2.4,2,1.83,36.9,,1.35,Severely Late
82,Construction,Poor,Large,Bank Transfer,No,Yes,60,153797.0,11.3,1,1.04,26.6,173441.25642944739,0.53,On-Time
83,Manufacturing,Excellent,Large,Bank Transfer,No,Yes,30,43065.0,11.9,1,1.64,26.9,28517.092385284064,2.92,On-Time
84,Retail,Excellent,Small,Bank Transfer,No,Yes,45,216681.0,2.8,2,0.83,38.4,155110.6359355135,0.49,On-Time
85,Retail,Fair,Medium,Bank Transfer,No,No,90,70627.0,16.6,1,1.86,22.9,,0.88,Severely Late
86,Manufacturing,Good,Enterprise,Bank Transfer,No,No,45,237661.0,15.9,3,3.14,69.4,,2.28,Late
87,Manufacturing,Poor,Small,Bank Transfer,No,Yes,45,276767.0,8.7,0,1.58,9.0,259582.76905618617,2.03,On-Time
88,Manufacturing,Excellent,Enterprise,Cheque,No,No,60,133886.0,3.0,1,1.58,20.6,,2.54,On-Time
89,Technology,Excellent,Large,Letter of Credit,No,Yes,60,571007.0,3.9,1,2.39,27.0,253815.4133444496,3.94,On-Time
90,Retail,Fair,Large,Mobile Money,No,Yes,45,381844.0,4.4,0,1.34,12.5,355567.1111219336,1.2,On-Time
91,Retail,Fair,Small,Bank Transfer,No,No,45,303989.0,5.2,5,1.67,65.7,,1.04,Severely Late
92,Retail,Excellent,Small,Bank Transfer,No,Yes,60,794758.0,6.1,2,2.82,22.7,779597.3422836512,0.5,Late
93,Retail,Good,Small,Bank Transfer,Yes,Yes,45,134413.0,4.7,3,1.57,53.5,65854.1009929994,1.53,Severely Late
94,Retail,Excellent,Small,Bank Transfer,No,No,45,139107.0,7.3,3,1.34,38.6,,0.93,Late
95,Healthcare,Poor,Medium,Bank Transfer,No,Yes,15,35586.0,5.4,1,2.96,22.4,23249.092868720454,3.66,On-Time
96,Retail,Fair,Small,Bank Transfer,No,Yes,45,300356.0,5.7,0,3.72,5.2,317214.31940185867,0.63,On-Time
97,Retail,Excellent,Enterprise,Mobile Money,No,No,45,470943.0,5.4,0,1.28,17.9,,1.93,On-Time
98,Manufacturing,Fair,Small,Bank Transfer,Yes,No,30,334571.0,2.5,3,2.81,49.6,,2.05,Severely Late
99,Retail,Fair,Medium,Mobile Money,No,No,60,457276.0,3.4,0,0.0,13.4,,1.59,On-Time
100,Manufacturing,Fair,Medium,Mobile Money,No,No,45,352293.0,1.2,0,1.87,5.7,,2.47,On-Time
101,Technology,Good,Small,Mobile Money,No,No,30,141135.0,8.3,0,2.19,21.7,,3.92,On-Time
102,Healthcare,Fair,Large,Letter of Credit,No,Yes,30,198216.0,3.0,1,2.95,27.6,165810.6635509538,3.03,On-Time
103,Retail,Excellent,Large,Bank Transfer,Yes,No,45,591607.0,19.6,3,3.47,33.2,,1.24,Late
104,Technology,Excellent,Small,Bank Transfer,No,No,30,145661.0,8.8,2,2.71,31.9,,4.61,On-Time
105,Technology,Good,Enterprise,Mobile Money,Yes,No,45,64978.0,8.0,1,3.11,22.7,,4.37,On-Time
106,Manufacturing,Fair,Medium,Bank Transfer,Yes,No,30,752538.0,7.8,2,0.49,27.4,,2.5,Severely Late
107,Healthcare,Fair,Enterprise,Mobile Money,No,No,60,628720.0,5.8,0,1.7,29.1,,2.99,On-Time
108,Retail,Good,Medium,Bank Transfer,No,No,30,326246.0,15.5,1,2.78,26.0,,1.24,On-Time
109,Manufacturing,Fair,Small,Cheque,No,No,45,506445.0,1.8,1,0.09,27.3,,1.77,On-Time
110,Construction,Fair,Medium,Bank Transfer,No,No,90,214445.0,16.1,0,3.15,7.7,,0.67,Severely Late
111,Technology,Fair,Large,Bank Transfer,Yes,No,90,232357.0,5.6,1,2.01,26.5,,4.35,Severely Late
112,Technology,Good,Enterprise,Mobile Money,No,Yes,15,202879.0,6.3,5,4.12,48.8,127840.5137197495,4.57,On-Time
113,Manufacturing,Poor,Small,Mobile Money,No,Yes,15,95209.0,2.8,0,1.54,16.4,83065.41586546465,2.53,On-Time
114,Manufacturing,Fair,Small,Cheque,Yes,No,60,516830.0,7.6,1,2.36,35.4,,1.93,Late
115,Construction,Fair,Large,Bank Transfer,No,Yes,15,457215.0,1.1,1,3.15,30.2,387637.959871955,1.04,On-Time
116,Construction,Fair,Enterprise,Mobile Money,No,No,30,198228.0,4.3,0,0.16,8.2,,0.59,On-Time
117,Manufacturing,Excellent,Medium,Mobile Money,No,No,60,454300.0,2.0,1,2.96,21.9,,2.05,On-Time
118,Retail,Good,Enterprise,Bank Transfer,No,Yes,45,375462.0,15.8,2,3.73,29.1,214999.15741766573,1.11,On-Time
119,Healthcare,Good,Medium,Bank Transfer,No,Yes,60,179233.0,5.7,2,2.08,42.3,77783.53014285139,3.05,On-Time
120,Technology,Good,Medium,Bank Transfer,Yes,No,15,310028.0,3.1,1,1.66,33.8,,4.66,On-Time
121,Healthcare,Good,Small,Bank Transfer,No,No,30,354621.0,6.6,1,2.0,32.9,,2.9,On-Time
122,Manufacturing,Excellent,Enterprise,Mobile Money,No,Yes,15,169538.0,2.8,1,4.72,28.4,86173.01939795206,1.4,On-Time
123,Manufacturing,Good,Medium,Bank Transfer,Yes,No,30,40235.0,3.5,0,2.51,13.6,,1.79,On-Time
124,Manufacturing,Fair,Small,Mobile Money,No,No,45,200751.0,7.0,1,2.02,16.5,,1.43,On-Time
125,Manufacturing,Fair,Large,Bank Transfer,No,No,15,453949.0,5.7,2,1.49,44.3,,2.11,Severely Late
126,Retail,Fair,Small,Bank Transfer,No,No,15,26004.0,4.0,1,3.04,27.1,,0.85,On-Time
127,Retail,Fair,Small,Letter of Credit,No,No,60,702351.0,8.1,4,1.12,34.2,,1.75,Severely Late
128,Retail,Poor,Medium,Bank Transfer,No,No,60,125482.0,13.9,1,0.65,21.1,,1.87,Severely Late
129,Manufacturing,Good,Small,Bank Transfer,No,No,30,149194.0,1.7,2,1.08,29.7,,2.11,On-Time
130,Construction,Good,Medium,Letter of Credit,Yes,No,45,167976.0,2.9,0,4.17,5.0,,1.16,On-Time
131,Retail,Fair,Large,Bank Transfer,No,Yes,15,733097.0,1.6,0,0.0,12.9,490533.6883290616,1.99,On-Time
132,Retail,Poor,Large,Letter of Credit,No,No,15,894891.0,5.2,1,1.38,25.2,,0.85,Severely Late
133,Retail,Poor,Large,Cheque,No,No,45,259096.0,9.1,0,5.34,20.7,,1.36,Severely Late
134,Technology,Poor,Enterprise,Bank Transfer,No,No,90,571658.0,8.6,0,2.14,11.1,,4.66,Severely Late
135,Technology,Excellent,Medium,Mobile Money,No,No,60,57079.0,11.3,1,3.13,22.1,,4.93,On-Time
136,Technology,Good,Medium,Bank Transfer,No,No,45,759046.0,3.1,1,1.31,19.7,,4.29,On-Time
137,Retail,Good,Large,Mobile Money,No,Yes,30,257190.0,2.3,2,1.72,18.4,221675.6772632078,1.65,On-Time
138,Technology,Fair,Medium,Mobile Money,Yes,No,45,728650.0,14.9,0,1.85,19.4,,4.22,On-Time
139,Manufacturing,Fair,Medium,Mobile Money,No,Yes,60,202554.0,0.8,1,0.44,20.1,224974.84955443762,2.06,On-Time
140,Manufacturing,Fair,Small,Bank Transfer,No,No,30,186657.0,5.8,0,2.78,14.0,,2.57,On-Time
141,Manufacturing,Fair,Medium,Mobile Money,No,No,45,192005.0,1.2,1,2.51,33.1,,2.3,On-Time
142,Manufacturing,Excellent,Small,Letter of Credit,Yes,Yes,30,238102.0,9.5,2,1.88,33.1,166861.24300012333,2.15,On-Time
143,Construction,Good,Small,Bank Transfer,No,No,45,425691.0,4.4,1,1.05,27.8,,0.43,On-Time
144,Technology,Excellent,Large,Cheque,Yes,Yes,60,374013.0,6.9,0,2.68,14.6,163323.16082197573,4.57,On-Time
145,Retail,Good,Medium,Bank Transfer,No,Yes,30,1407210.0,2.4,1,2.41,33.0,1145591.4102509443,1.51,On-Time
146,Technology,Poor,Medium,Bank Transfer,No,Yes,90,727952.0,9.4,0,1.95,11.2,772024.0704029867,4.44,Late
147,Manufacturing,Fair,Small,Mobile Money,No,Yes,60,214461.0,8.0,3,0.53,51.5,169491.34595303753,1.68,Severely Late
148,Retail,Poor,Medium,Bank Transfer,No,No,30,87320.0,6.6,0,3.02,10.7,,1.57,On-Time
149,Manufacturing,Good,Medium,Bank Transfer,Yes,Yes,30,1107370.0,2.1,2,2.3,34.6,1101216.335579022,1.81,On-Time
150,Construction,Good,Enterprise,Cheque,No,No,30,349293.0,3.2,0,0.57,21.5,,0.95,Late
151,Retail,Fair,Medium,Letter of Credit,No,Yes,45,582350.0,2.9,1,0.0,18.0,642972.2500229914,1.54,Late
152,Manufacturing,Excellent,Medium,Cheque,No,Yes,30,495164.0,7.0,2,3.15,31.2,418274.9479031442,1.58,On-Time
153,Technology,Fair,Small,Letter of Credit,Yes,No,30,73523.0,4.1,0,2.26,7.7,,4.39,Late
154,Technology,Poor,Small,Cheque,No,No,30,306797.0,7.6,2,0.57,29.9,,4.57,On-Time
155,Construction,Good,Small,Bank Transfer,No,No,90,173652.0,6.9,1,1.88,22.5,,0.71,Severely Late
156,Construction,Good,Medium,Letter of Credit,No,No,45,158712.0,10.5,0,2.69,26.3,,0.84,On-Time
157,Manufacturing,Good,Large,Bank Transfer,No,No,15,1129271.0,12.6,2,2.52,23.0,,2.2,On-Time
158,Healthcare,Good,Large,Bank Transfer,No,No,90,470349.0,3.9,2,3.16,35.1,,3.19,Late
159,Manufacturing,Excellent,Large,Mobile Money,No,No,30,249257.0,11.1,1,1.41,29.3,,1.72,On-Time
160,Construction,Good,Large,Mobile Money,No,No,90,914977.0,15.1,0,0.0,10.3,,0.74,Late
161,Technology,Good,Small,Bank Transfer,No,No,15,582039.0,14.0,1,1.51,19.1,,4.75,On-Time
162,Healthcare,Excellent,Medium,Cheque,No,No,30,56592.0,6.3,2,1.08,23.9,,3.14,On-Time
163,Manufacturing,Fair,Large,Mobile Money,No,No,30,650906.0,1.0,3,0.32,30.4,,1.76,Late
164,Manufacturing,Fair,Large,Cheque,No,No,90,334357.0,3.1,0,2.7,10.2,,1.67,On-Time
165,Construction,Fair,Small,Letter of Credit,No,Yes,90,168060.0,3.3,0,0.08,20.0,134751.11940207946,1.29,Severely Late
166,Manufacturing,Poor,Enterprise,Bank Transfer,Yes,Yes,60,221384.0,2.3,0,4.12,22.8,147048.41285087762,2.48,Severely Late
167,Retail,Poor,Medium,Mobile Money,Yes,No,30,549949.0,1.9,0,4.26,20.7,,1.38,Late
168,Retail,Poor,Small,Bank Transfer,No,Yes,45,346567.0,6.6,0,0.0,18.3,347619.0779361661,1.68,Late
169,Technology,Fair,Small,Letter of Credit,No,Yes,45,197819.0,2.2,2,2.56,46.2,140526.55758493865,5.22,On-Time
170,Retail,Good,Small,Mobile Money,No,Yes,90,268226.0,5.9,2,5.25,27.4,168162.72594480292,1.46,Severely Late
171,Construction,Fair,Enterprise,Mobile Money,No,Yes,30,96205.0,0.6,3,0.39,50.3,66351.85223635935,1.01,Severely Late
172,Healthcare,Excellent,Small,Bank Transfer,No,No,30,652752.0,5.4,1,1.26,25.8,,2.65,On-Time
173,Technology,Excellent,Medium,Mobile Money,No,No,90,399301.0,6.2,0,1.82,20.1,,4.94,On-Time
174,Healthcare,Good,Small,Letter of Credit,No,No,30,86442.0,1.8,1,1.98,16.9,,3.33,On-Time
175,Healthcare,Good,Small,Cheque,No,Yes,45,256574.0,4.2,0,2.17,6.4,234512.14953308224,2.21,On-Time
176,Retail,Fair,Small,Letter of Credit,Yes,No,15,329524.0,0.3,0,3.12,7.4,,1.83,Severely Late
177,Retail,Excellent,Medium,Bank Transfer,No,Yes,15,809661.0,2.7,2,2.79,32.3,692254.704540891,1.3,On-Time
178,Retail,Fair,Enterprise,Cheque,No,No,30,468658.0,6.2,1,0.0,25.2,,1.83,On-Time
179,Healthcare,Good,Large,Mobile Money,Yes,No,30,74051.0,8.6,3,0.87,32.7,,3.71,On-Time
180,Retail,Fair,Large,Bank Transfer,No,Yes,60,170182.0,7.3,2,3.33,29.1,155471.45102465234,1.76,Late
181,Retail,Excellent,Small,Letter of Credit,No,Yes,90,389339.0,1.4,0,2.64,12.9,362794.9686017595,1.0,On-Time
182,Retail,Poor,Small,Mobile Money,No,No,60,393881.0,13.7,0,1.63,17.0,,0.98,On-Time
183,Manufacturing,Excellent,Large,Cheque,No,Yes,30,424130.0,8.6,1,3.23,47.2,233272.24501625003,2.7,On-Time
184,Retail,Excellent,Small,Letter of Credit,No,No,45,56588.0,4.3,1,0.29,33.9,,1.61,On-Time
185,Construction,Good,Medium,Mobile Money,No,No,15,644579.0,3.2,0,1.55,6.0,,0.33,On-Time
186,Healthcare,Fair,Medium,Letter of Credit,No,No,15,112855.0,6.8,2,2.41,33.5,,3.32,On-Time
187,Construction,Fair,Medium,Cheque,No,No,30,285054.0,1.1,1,1.3,29.2,,0.5,On-Time
188,Construction,Good,Large,Letter of Credit,No,No,45,207978.0,8.3,2,0.38,39.7,,0.53,Late
189,Retail,Good,Medium,Cheque,No,No,60,512985.0,11.9,1,3.01,25.3,,1.25,Late
190,Retail,Poor,Small,Cheque,No,No,30,10000.0,4.6,1,2.45,30.8,,1.52,Late
191,Retail,Good,Medium,Mobile Money,No,No,45,314856.0,11.1,0,1.94,25.6,,1.46,On-Time
192,Retail,Poor,Small,Bank Transfer,No,No,90,337520.0,2.4,5,2.89,73.7,,1.78,Severely Late
193,Technology,Excellent,Medium,Bank Transfer,No,No,45,480591.0,8.6,3,0.06,32.8,,4.85,On-Time
194,Construction,Excellent,Medium,Bank Transfer,No,No,45,201097.0,4.3,0,4.44,16.2,,0.65,On-Time
195,Retail,Good,Medium,Bank Transfer,No,No,45,58267.0,2.1,1,2.25,23.6,,1.51,On-Time
196,Construction,Fair,Large,Mobile Money,No,No,45,1197624.0,4.9,0,3.51,13.3,,1.58,On-Time
197,Retail,Poor,Large,Bank Transfer,No,No,45,351942.0,13.8,1,1.13,26.5,,1.74,On-Time
198,Manufacturing,Good,Enterprise,Bank Transfer,No,Yes,90,560950.0,9.6,1,1.73,30.9,534428.8499056018,1.79,Late
199,Manufacturing,Fair,Medium,Bank Transfer,No,Yes,45,717306.0,3.5,1,2.16,14.1,556174.4744359881,2.25,On-Time
200,Technology,Poor,Medium,Mobile Money,No,Yes,60,122040.0,3.4,1,3.0,32.2,59060.88549108121,4.84,Late
201,Manufacturing,Fair,Medium,Bank Transfer,No,Yes,30,237161.0,2.1,2,0.95,22.1,101957.30894926301,2.55,On-Time
202,Retail,Excellent,Small,Mobile Money,No,No,30,963433.0,1.5,2,0.0,34.8,,0.78,On-Time
203,Construction,Good,Medium,Mobile Money,No,No,15,160693.0,4.9,0,0.0,9.6,,0.44,On-Time
204,Construction,Fair,Small,Letter of Credit,No,Yes,45,154951.0,2.4,0,0.0,10.8,71894.6135329939,1.21,On-Time
205,Healthcare,Fair,Small,Bank Transfer,Yes,Yes,30,103196.0,10.0,0,2.75,25.0,43500.67743787356,2.61,On-Time
206,Technology,Fair,Medium,Bank Transfer,No,Yes,60,224087.0,16.5,0,0.91,5.4,251065.8482381773,4.08,On-Time
207,Construction,Good,Enterprise,Letter of Credit,No,Yes,15,491100.0,3.9,3,0.03,41.9,475433.8645581278,0.58,Late
208,Construction,Fair,Small,Mobile Money,No,No,15,476417.0,2.5,0,2.81,9.2,,1.45,On-Time
209,Manufacturing,Good,Medium,Mobile Money,No,No,90,195292.0,11.2,1,1.79,26.4,,1.01,Late
210,Technology,Fair,Medium,Bank Transfer,No,No,45,402410.0,1.3,3,2.06,51.0,,4.53,Late
211,Construction,Excellent,Medium,Bank Transfer,No,No,15,156865.0,3.5,1,0.97,28.5,,0.39,On-Time
212,Healthcare,Good,Small,Letter of Credit,No,Yes,15,101984.0,11.6,1,4.35,20.7,90883.10896608165,3.75,On-Time
213,Manufacturing,Good,Medium,Bank Transfer,No,Yes,30,760468.0,9.4,0,2.81,9.1,576198.4624938123,1.86,On-Time
214,Construction,Poor,Small,Cheque,Yes,Yes,45,65541.0,4.6,0,1.0,15.1,28389.46031692286,1.17,Severely Late
215,Manufacturing,Excellent,Enterprise,Letter of Credit,No,No,15,95651.0,6.0,2,2.22,33.7,,2.48,On-Time
216,Construction,Good,Enterprise,Mobile Money,No,No,45,733868.0,4.7,0,0.0,4.8,,0.19,On-Time
217,Retail,Good,Medium,Letter of Credit,No,Yes,30,200367.0,5.8,1,1.61,23.1,228523.97347580577,1.32,On-Time
218,Healthcare,Good,Small,Bank Transfer,No,No,45,306194.0,10.4,2,4.19,37.1,,3.41,On-Time
219,Retail,Fair,Enterprise,Letter of Credit,No,No,30,115384.0,1.5,2,2.18,40.2,,1.89,Late
220,Healthcare,Poor,Small,Bank Transfer,No,No,30,548259.0,1.8,2,2.16,44.8,,3.68,On-Time
221,Retail,Excellent,Medium,Cheque,Yes,No,30,300426.0,0.3,1,3.22,22.4,,1.36,On-Time
222,Technology,Fair,Large,Bank Transfer,Yes,No,60,532949.0,1.6,2,2.93,44.0,,4.15,Severely Late
223,Healthcare,Poor,Medium,Mobile Money,No,No,30,54547.0,1.1,0,2.64,20.0,,3.41,On-Time
224,Retail,Poor,Small,Bank Transfer,No,Yes,30,174042.0,8.4,2,2.78,34.6,168927.64305752201,1.93,Late
225,Construction,Good,Medium,Letter of Credit,No,Yes,90,221720.0,0.6,1,3.32,22.8,155225.40352082657,1.05,On-Time
226,Construction,Good,Medium,Bank Transfer,No,No,90,204617.0,4.1,2,1.95,27.0,,1.27,Severely Late
227,Healthcare,Fair,Enterprise,Bank Transfer,No,No,30,276102.0,5.2,0,1.51,17.6,,2.67,Late
228,Retail,Poor,Medium,Bank Transfer,No,Yes,30,366346.0,4.0,0,2.16,16.4,169748.51384054826,1.7,On-Time
